epoch,step,training_cardinality_error,training_loss,training_loss_bbox,training_loss_ce,training_loss_giou,validation_cardinality_error,validation_loss,validation_loss_bbox,validation_loss_ce,validation_loss_giou
0,0,99.0,7.263029098510742,0.7134175896644592,1.8019604682922363,0.9469904899597168,,,,,
0,1,94.0,6.288046836853027,0.4914378523826599,1.7607529163360596,1.0350524187088013,,,,,
0,2,90.75,7.514508247375488,0.7226921916007996,1.70897376537323,1.0960367918014526,,,,,
0,3,66.0,6.575911521911621,0.5958695411682129,1.5634735822677612,1.0165449380874634,,,,,
0,4,52.25,5.366565227508545,0.40847912430763245,1.5097033977508545,0.9072330594062805,,,,,
0,5,29.25,4.391937255859375,0.2737743556499481,1.4665298461914062,0.7782677412033081,,,,,
0,6,35.5,4.455840110778809,0.2515883445739746,1.5184412002563477,0.8397286534309387,,,,,
0,7,24.25,4.2868852615356445,0.20014998316764832,1.4690476655960083,0.9085438251495361,,,,,
0,8,24.5,4.0552802085876465,0.1776084154844284,1.4378844499588013,0.8646767735481262,,,,,
0,9,18.0,3.4387197494506836,0.09934728592634201,1.3987369537353516,0.7716231346130371,,,,,
0,10,13.0,3.574929714202881,0.10095235705375671,1.3230516910552979,0.8735581636428833,,,,,
0,10,,,,,,10.147727012634277,3.9998619556427,0.15759897232055664,1.3449758291244507,0.9334453344345093
1,11,4.0,3.270984172821045,0.13122117519378662,1.2722911834716797,0.6712936162948608,,,,,
1,12,4.75,3.4925761222839355,0.11826437711715698,1.2296929359436035,0.8357806205749512,,,,,
1,13,2.75,3.6805155277252197,0.1343652755022049,1.2369974851608276,0.8858458399772644,,,,,
1,14,1.0,3.2768187522888184,0.120968759059906,1.1964350938796997,0.7377700209617615,,,,,
1,15,1.75,3.711672306060791,0.18127690255641937,1.127890706062317,0.8386985659599304,,,,,
1,16,1.25,3.055570125579834,0.08753084391355515,1.0606651306152344,0.7786254286766052,,,,,
1,17,1.75,3.4522199630737305,0.1426040232181549,1.081355333328247,0.8289223313331604,,,,,
1,18,1.0,3.0438036918640137,0.09744559973478317,0.9676318764686584,0.7944718599319458,,,,,
1,19,1.25,2.9571666717529297,0.09317871928215027,0.9567364454269409,0.7672682404518127,,,,,
1,20,1.5,2.836913585662842,0.10064384341239929,0.9198527336120605,0.7069207429885864,,,,,
1,21,1.0,3.15726375579834,0.12914156913757324,0.810148298740387,0.850703775882721,,,,,
1,21,,,,,,1.329545497894287,3.181864023208618,0.13760386407375336,0.8313941359519958,0.8312250375747681
2,22,1.25,2.8552627563476562,0.1446545571088791,0.819496214389801,0.6562469601631165,,,,,
2,23,2.0,3.5087757110595703,0.14903795719146729,0.874407172203064,0.944589376449585,,,,,
2,24,1.5,2.863372802734375,0.1050150990486145,0.8121236562728882,0.76308673620224,,,,,
2,25,1.5,2.447429895401001,0.12403875589370728,0.7435163259506226,0.5418598651885986,,,,,
2,26,1.0,3.027909278869629,0.14106085896492004,0.6498642563819885,0.8363703489303589,,,,,
2,27,1.25,2.6200480461120605,0.13431714475154877,0.6587895750999451,0.6448363661766052,,,,,
2,28,1.25,2.9870567321777344,0.13749347627162933,0.6410443782806396,0.8292725682258606,,,,,
