epoch,step,training_cardinality_error,training_loss,training_loss_bbox,training_loss_ce,training_loss_giou,validation_cardinality_error,validation_loss,validation_loss_bbox,validation_loss_ce,validation_loss_giou
0,0,24.75,8.128680229187012,0.7761935591697693,1.5338857173919678,1.356913447380066,,,,,
0,1,2.25,6.898043155670166,0.6031431555747986,1.3678104877471924,1.257258415222168,,,,,
0,2,1.25,6.234084129333496,0.5886819958686829,1.3218153715133667,0.9844293594360352,,,,,
0,3,1.25,5.905737400054932,0.39762523770332336,1.3466193675994873,1.2854959964752197,,,,,
0,4,1.0,4.692755699157715,0.3241272270679474,1.2552759647369385,0.9084216952323914,,,,,
0,5,1.25,4.504053115844727,0.3147512972354889,1.2200430631637573,0.8551267981529236,,,,,
0,6,0.75,4.038182735443115,0.2056839019060135,1.1764001846313477,0.9166815876960754,,,,,
0,7,1.0,3.4793498516082764,0.16313093900680542,1.1960612535476685,0.7338169813156128,,,,,
0,8,1.25,4.130284309387207,0.18677514791488647,1.1868762969970703,1.0047661066055298,,,,,
0,9,1.0,3.0629024505615234,0.1260528564453125,1.079708218574524,0.6764649152755737,,,,,
0,10,3.0,3.58288311958313,0.1408557891845703,1.2269034385681152,0.8258503675460815,,,,,
0,10,,,,,,1.329545497894287,3.383740186691284,0.12354990839958191,1.0554020404815674,0.8552942276000977
1,11,1.0,4.144861698150635,0.23813897371292114,1.0302826166152954,0.961942195892334,,,,,
1,12,2.0,3.656693458557129,0.14400075376033783,1.094300389289856,0.9211946725845337,,,,,
1,13,1.25,2.8281257152557373,0.09344314783811569,0.9752470850944519,0.6928314566612244,,,,,
1,14,1.0,2.849482297897339,0.07176017761230469,0.856681227684021,0.8170000910758972,,,,,
1,15,1.0,3.741089105606079,0.22314351797103882,0.8481499552726746,0.8886107206344604,,,,,
1,16,1.0,2.718296527862549,0.08460681885480881,0.8055565357208252,0.7448530197143555,,,,,
1,17,1.5,3.5856552124023438,0.11952108144760132,0.8408474922180176,1.0736011266708374,,,,,
1,18,1.25,3.031022071838379,0.11785173416137695,0.7890646457672119,0.8263493776321411,,,,,
1,19,1.0,3.0078749656677246,0.1648583859205246,0.6924391984939575,0.7455719709396362,,,,,
1,20,1.25,3.0664005279541016,0.11066193878650665,0.7462930083274841,0.8833988308906555,,,,,
1,21,1.5,2.664821147918701,0.13494929671287537,0.7494258284568787,0.6203243732452393,,,,,
1,21,,,,,,1.329545497894287,2.8624188899993896,0.116024449467659,0.67778480052948,0.8022556900978088
2,22,1.0,3.088672161102295,0.17316389083862305,0.6093835234642029,0.806734561920166,,,,,
2,23,1.0,3.293222427368164,0.14108166098594666,0.5848090648651123,1.001502513885498,,,,,
2,24,1.0,3.077368974685669,0.15417370200157166,0.5671234726905823,0.8696885108947754,,,,,
2,25,1.0,2.108941078186035,0.12740367650985718,0.5130486488342285,0.4794369339942932,,,,,
2,26,1.5,2.6168484687805176,0.09258347004652023,0.6453630328178406,0.7542840242385864,,,,,
2,27,2.5,2.9706616401672363,0.1235315352678299,0.8185620903968811,0.7672209739685059,,,,,
2,28,1.0,2.036442279815674,0.08758637309074402,0.5025219321250916,0.5479942560195923,,,,,
